"ID","Year","StateID","Jan","Feb","Mar","Apr","May","June","July","Aug","Sept","Oct","Nov","Dec"
"0070022004",2004,7,28.8,36.1,46.1,54.7,69.6,71.3,76.1,74,69.4,56.2,48.6,39
"0070022005",2005,7,34.3,36.7,40.1,54.3,58.4,72.7,77.9,77.9,71.9,58.8,50.1,35.6
"0070022006",2006,7,42.1,37.1,44.6,56.3,63,72.1,78.3,77.1,66.3,56.2,50.9,43.9
"0070022007",2007,7,40.1,29.6,45.2,51,64.3,72.9,76.1,76.6,70,64.1,46.4,39.2
"0070022008",2008,7,36.7,39.1,45.7,55.4,60.9,75.2,77.4,73.4,69.6,56.2,45.4,40.7
"0070022009",2009,7,30.7,38.5,43.3,55,63.8,70.9,74.5,77.2,66.9,56.6,50.6,37.1
"0070022010",2010,7,33.4,31.4,48.1,57.5,66.2,77.4,79.9,77,71.4,58.6,47.5,31.7
"0070022011",2011,7,30.3,38.8,43.9,57.2,66.4,74.3,80.6,75.5,70.7,57.2,50.8,43.4
"0070022012",2012,7,39.3,41.1,52.4,55,67.8,72.9,80.9,76.8,68.4,59.4,43.5,44.2
"0070022013",2013,7,37.4,35.9,40.5,54.6,63.7,73.5,79.2,73.4,66.7,59.5,45.1,40.4
"0070022014",2014,7,30,33.9,39.6,52.9,64.9,72.8,75.8,72.6,69.1,59.4,44.6,41
"0070022015",2015,7,32.1,26.3,40,54.2,67.9,73.6,76.9,75.1,72,56.5,51.6,50.8
"0070022016",2016,7,34.3,38.5,49.7,53.1,61.7,72.4,79.6,78.6,72,60.3,49,39.2
"0070022017",2017,7,39.1,44.4,43.8,59.6,62.8,73.6,78.4,74,69.8,62.4,47.5,36.1
"0070022018",2018,7,32.8,43.2,40.5,51.6,68.3,72.6,77.2,78.6,73.6,60.2,45.7,41.4
"0070022019",2019,7,35.3,38.7,43.2,58.7,66.9,73.8,79.8,76.4,71.6,61.5,43.6,40
"0080021998",1998,8,60.5,60,62.2,69.7,77.4,84.1,83.6,82.7,80.3,75.2,69.6,64.6
"0080021999",1999,8,60.7,61.9,62.6,72.8,74.6,79.3,82.2,83.1,78.9,73.2,65.7,59
"0080022000",2000,8,58.4,60.5,67.6,68.1,77.3,80.5,82.3,81.7,79.5,70.9,63.4,56.7
"0080022001",2001,8,53,65.2,64.3,70,74.9,80.1,81.3,81.4,77.6,71.6,67.7,64.1
"0080022002",2002,8,59.3,59.5,66.6,73.6,76.7,79.6,81.5,81.1,81,76.2,63.1,57.3
"0080022003",2003,8,52.2,61.2,69.8,69.4,78.1,80.1,81.4,81.1,78.9,73.5,68.6,56.1
"0080022004",2004,8,56.8,59.3,65.7,67.4,76.3,81.3,81.8,81.4,79.9,74.5,67.4,58
"0080022005",2005,8,60,60.8,63,66.7,74.4,79.9,83.3,83.2,80.8,73.6,67.3,57
"0080022006",2006,8,60.8,58.3,64.8,72.4,75.7,80.5,82,82.8,79.3,72.1,63.4,64.2
"0080022007",2007,8,61.3,58.1,66.3,68.4,74.9,80,82.4,83.7,80.5,76.2,64.8,64.4
"0080022008",2008,8,58.3,63,64.7,69.5,76.4,80.9,81.2,81.3,79.7,71.4,61.5,62
"0080022009",2009,8,57.2,57.3,65.3,69.6,76.6,81.9,81.7,82.1,80.5,75.3,66,60.4
"0080022010",2010,8,52.5,52.6,59,69.7,78.5,83.1,83.4,83.5,80.9,72.1,64.9,50.1
"0080022011",2011,8,54.9,61.8,66.5,73,76.2,82.1,82.6,83.7,79.7,70.5,66.4,62.8
"0080022012",2012,8,59.3,64.3,70.3,71.2,77.6,79.3,82.4,81.5,79.5,73.2,62.1,62
"0080022013",2013,8,64,61.8,59.1,71.4,74,81.1,80.8,82.2,80,74,67.1,64.7
"0080022014",2014,8,54.5,62.8,63.5,70.5,76,80.3,81.8,82.9,79.7,72.7,61.1,61.9
"0080022015",2015,8,58.6,56.5,69.5,75.1,77.5,81.7,82.8,82.4,80,74.4,72.2,69.6
"0080022016",2016,8,56.9,59.4,68.8,71.2,76.2,81.9,84,83,81.1,74.6,66.6,65.9
"0080022017",2017,8,62.8,65.5,66.2,72.3,77.1,80.2,82.8,82.8,80.4,74.9,67.4,61.7
"0080022018",2018,8,55,69.2,63,70.2,76.4,81.5,82.4,82.2,82.4,76.5,66.7,61.8
"0080022019",2019,8,58.4,67.5,65.7,71.2,78.8,82.3,82.8,82.9,81.9,77.9,64.9,63.9
"0090021998",1998,9,49.5,50.3,53.7,62.4,74.1,80.9,82.4,79.5,76.1,66.8,59.6,53
"0090021999",1999,9,49.9,51.7,53.4,67.1,69.5,76.3,80.5,82.1,73.4,64.4,57.7,47.9
"0090022000",2000,9,46.2,51.6,59.1,60.6,73.9,78,80.8,79.5,72.6,63.7,53.6,40.6
"0090022001",2001,9,43.3,53.6,53.8,64.2,70.8,76.4,79.3,79.3,72.1,61.7,59.9,52.9
"0090022002",2002,9,48.1,48.4,56.9,67.9,70.2,77.4,80.8,79.6,76.8,68.2,52.3,45.7
"0090022003",2003,9,42.3,48.9,59,62.7,71.7,76.1,78.7,79.2,73.1,64.4,59.4,44.3
"0090022004",2004,9,45,46.1,59,62.2,73.6,78.1,80.1,77.6,73.6,67.7,57.9,46.8
"0090022005",2005,9,49.5,50.9,53.7,60.7,68.3,76.6,80.9,80.3,77,65.8,57,44.8
"0090022006",2006,9,51.8,47.4,56.1,67,70.4,77.4,81,81.6,73.3,62.5,54.2,51.9
"0090022007",2007,9,49.2,46.7,60,60.9,70.5,77.7,78.9,83.2,75.8,67.8,54,52.9
"0090022008",2008,9,45,50.8,55.4,62.6,70.3,79.4,79.7,78.9,74.6,62.4,51.4,51.7
"0090022009",2009,9,46.3,47.7,56.4,61.8,71.3,79.8,78.5,78.8,74.5,64.1,55.6,46.2
"0090022010",2010,9,41.8,42.1,52.1,64.5,73.6,81,82.2,82.2,76.5,64.8,54.8,39.9
"0090022011",2011,9,41.8,51.1,57.8,65.8,71.3,81.1,81.9,82.2,73.6,61.6,56.2,51.3
"0090022012",2012,9,50,52.8,64.8,65.6,73.5,75.6,82.2,78.1,74,64.7,52.6,52.1
"0090022013",2013,9,52.5,48.8,50.2,62.9,68.4,77.8,78.2,78,74.5,65,53.2,51.2
"0090022014",2014,9,40,49.8,52.9,63.1,71.2,78.3,78.9,79.2,75.5,65.6,49.8,51.3
"0090022015",2015,9,44.9,43.2,58.8,66.8,72.4,79.3,81.5,79.5,73.8,64.8,59.8,58.9
"0090022016",2016,9,44.4,50,60.9,63.9,70.8,79.7,82.8,81.6,77.5,67.8,58,52.1
"0090022017",2017,9,53.2,56.5,58,67.5,71.4,76.6,80.6,79.4,74,67,56.4,49.3
"0090022018",2018,9,42.5,59.2,54.5,60.6,73.7,79.3,80.2,79.4,79.8,68.4,53.2,50.2
"0090022019",2019,9,48.2,56.1,56.3,64.6,75.7,78.1,81,80.7,79.1,69.7,52.8,52.3
"0100021998",1998,10,27.9,29.4,34,41.3,49,53.6,69.1,67,60.4,43.3,34.3,22.6
"0100021999",1999,10,27.1,27,33.8,38.7,46.6,55.6,63.7,65.4,54.2,46.2,38.8,25.9
"0100022000",2000,10,25.7,32,34.5,45.3,50.3,58.6,66.5,66.3,54,44.1,25.7,24.2
"0100022001",2001,10,23,25.1,36.6,40.1,52.6,57.4,65.6,68.2,59.4,44.6,36.2,22.1
